,0
179,"小さなる地震ゆり景色との曇り我が気不精の虫がかぶれる : 新井洸 『微明』, 0000, 1916"
180,"むくつけき心のくらみ此ままに土の底にも入らむとぞ思ふ : 新井洸 『微明』, 0000, 1916"
181,"人の文けしうよごれて十日あり無慙のこころ筆を執らざる : 新井洸 『微明』, 0000, 1916"
182,"置き馴れし箪笥のあとのしらしらとあまり明るき秋の日ざしか : 新井洸 『微明』, 0000, 1916"
183,"移り来し荷の緒ちらばる家のうちに夕靄さぶくしのび来にけり : 新井洸 『微明』, 0000, 1916"
184,"疲れつつ冴ゆる心に灯くらく塵のくゆりの重く迷へり : 新井洸 『微明』, 0000, 1916"
185,"住み馴れぬ家ぬちの心いつ更けし青の寒さにをののきにけり : 新井洸 『微明』, 0000, 1916"
186,"空けし家の庭の椿のしろき塵こよひの雨に消えゆくらむか : 新井洸 『微明』, 0000, 1916"
187,"いかならむ人か棲みしとこの隈の釘をこじ抜く其根錆びたり : 新井洸 『微明』, 0000, 1916"
188,"たそがれと暮れゆく時を背のびして釘かしましく打つがわびしも : 新井洸 『微明』, 0000, 1916"
189,"襟ほそき御嶽行者の養ひ娘今は二十歳を越したるならむ : 新井洸 『微明』, 0000, 1916"
190,"いかばかり衰へはてし心かも御獄行者に占へしめけむ : 新井洸 『微明』, 0000, 1916"
191,"おのれを果敢なみ居たれ一年もたのみ難しと聞くに堪へめや : 新井洸 『微明』, 0000, 1916"
192,"おのが身をうれひはかなみ痴しきまどはし言にいや歎かひし : 新井洸 『微明』, 0000, 1916"
193,"罪止云布罪波不在[つみといふつみはあらじ]と奏す時男行者のこゑのよろしさ : 新井洸 『微明』, 0000, 1916"
194,"深川の路地の暗きを出でけらし行者の娘かほよかりしか : 新井洸 『微明』, 0000, 1916"
195,"病院の夜の廊下に佇める面会人か我が姿はも : 新井洸 『微明』, 0000, 1916"
196,"山ちかき夜の底冷え薬の香面会人はしづ心なし : 新井洸 『微明』, 0000, 1916"
197,"病院のさむき灯かげに白絹の一点のしみを悲しめりけり : 新井洸 『微明』, 0000, 1916"
198,"この家に枇杷の花咲けり我が親子今日からここにうつり住むなり : 新井洸 『微明』, 0000, 1916"
199,"霞降る身のまはりなる物のかげ濃く染まるまで灯を強くせよ : 新井洸 『微明』, 0000, 1916"
200,"氷雨降る小暗き部屋にうづくまり意地わろく人にへだてたらなむ : 新井洸 『微明』, 0000, 1916"
201,"霜ぐもりさびしく寒しかかる日は我がおくつきの水かへに来ね : 新井洸 『微明』, 0000, 1916"
202,"雪どけの雫のかげを日あたりの障子に見つつ薬あふぐも : 新井洸 『微明』, 0000, 1916"
203,"病み臥して昼を寝たればさめ際の眼にしむ灯こそさうざうしけれ : 新井洸 『微明』, 0000, 1916"
204,"茶の間の暗き灯かげに水蜜桃はめば妻が浴衣のまづしきをあはれ : 新井洸 『微明』, 0000, 1916"
205,"タまぐれ風そよそよと鳥が行く我がこのこころかへる家なし : 新井洸 『微明』, 0000, 1916"
206,"烏羽玉の夜のふけゆけばつかれひく明日をわびしみころぶすなりけり : 新井洸 『微明』, 0000, 1916"
207,"思ひあまり着のみ着のままごろ寝するものぐさき心妻知るらめや : 新井洸 『微明』, 0000, 1916"
208,"黄八丈繻子の襟せし風俗に品なほ高き母なりしかな : 新井洸 『微明』, 0000, 1916"
209,"棕櫚竹と君が姿とうつしたる鏡のいろの冷たき思ひ出 : 新井洸 『微明』, 0000, 1916"
210,"そむかれむ日の悲びをうれひつつ百日に足らぬ子をいだくなり : 新井洸 『微明』, 0000, 1916"
211,"我が妻の手づくね髪しつたなくも打乱るるを見つつ黙すも : 新井洸 『微明』, 0000, 1916"
212,"静かなる夜長夜さむにかぎりなきさんげの心あふれたるかな : 新井洸 『微明』, 0000, 1916"
213,"から梅雨の風吹きわたり大河の波の騒立ち閃けるかも : 新井洸 『微明』, 0000, 1916"
214,"夕映えのひかりうち乱れ潮疾し船子がおらびのいらだたしかも : 新井洸 『微明』, 0000, 1916"
215,"満ち潮のしほのあしはやみ船と船と触れなむとしてまた事もなし : 新井洸 『微明』, 0000, 1916"
216,"タ潮に乗り来る船の舳目くるめく我が鳩尾にあへて迫るも : 新井洸 『微明』, 0000, 1916"
217,"今は暮れてひたすら暗き河口におも梶と呼べり少年のこゑ : 新井洸 『微明』, 0000, 1916"
218,"小蒸汽の吹き棄つる湯気にあか暗き機関の室 : 新井洸 『微明』, 0000, 1916"
219,"ぬらぬらと油光りの機械にはともしちらめき : 新井洸 『微明』, 0000, 1916"
220,"引く潮にさからひ上る夜の帆は風を乏しび星空に垂る : 新井洸 『微明』, 0000, 1916"
221,"見ることの久しくしあれば夜の帆影湖にさからひしみじみ上る : 新井洸 『微明』, 0000, 1916"
222,"河岸の家にひとり寝に来て宵はやし遠稲光がらす戸に見ゆ : 新井洸 『微明』, 0000, 1916"
223,"横になれば水づたひ来るものの声奇しくさやに女わらへり : 新井洸 『微明』, 0000, 1916"
224,"新しき船のさし板檜いた朝日にてらふ波のただなか : 新井洸 『微明』, 0000, 1916"
225,"両岸の街には今朝は鯉職みなかみ遠くあまた見えつも : 新井洸 『微明』, 0000, 1916"
226,"ひつそりと米倉ならぶ河岸に来て鳥さしが吹くその鳥笛を : 新井洸 『微明』, 0000, 1916"
227,"水の上のタ映えのいろ早くさめ冷たく明し春浅みかも : 新井洸 『微明』, 0000, 1916"
228,"にごり雨小やみをなしも引き潮のしるき川床泥曝れにつつ : 新井洸 『微明』, 0000, 1916"
229,"豪雨の水ひた流れたり船は皆岸に身を寄せ息をころせり : 新井洸 『微明』, 0000, 1916"
230,"雪はれの朝のかがやき河ロの汽船の火夫もつれづれ見たり : 新井洸 『微明』, 0000, 1916"
231,"まんまんと凪ぎし日なれば汽船の波河一ぱいにひろがりゆくも : 新井洸 『微明』, 0000, 1916"
232,"町うらの沼田に見ればうらさびし繭屋の屋根の細き煙出し : 新井洸 『微明』, 0000, 1916"
233,"油桶の真鍮の箍日に照らふ水郷の町のはづれなりけり : 新井洸 『微明』, 0000, 1916"
234,"三叉の沖吹く風に白魚ひく帆影黝みて湖暮れむとす : 新井洸 『微明』, 0000, 1916"
235,"大湖のたたへのはてにあをあをし真菰の浮洲寂かなるかな : 新井洸 『微明』, 0000, 1916"
236,"湖尻のせばまりはてて江なせる水滑らかに月にあをめり : 新井洸 『微明』, 0000, 1916"
237,"浮洲のなか水の道せばくほの暗く月はまこもの根にきらめけり : 新井洸 『微明』, 0000, 1916"
238,"翅なき人にしあれば夜ふかく水に舟うけて月に遊べり : 新井洸 『微明』, 0000, 1916"
239,"大空も水もしめらひ蒼みたり月は遥けくはるけかりけり : 新井洸 『微明』, 0000, 1916"
240,"目瞑づれば忽ち暗き夜の底にひえびえと啼く虫の声かも : 新井洸 『微明』, 0000, 1916"
241,"洲の崎の芦生にまじるおもだかの水際に淀むうす明りはも : 新井洸 『微明』, 0000, 1916"
242,"錦木はか細けれどもくれなゐをいのちの限りこらしたらずや : 新井洸 『微明』, 0000, 1916"
243,"雲おもき日のタぐれの微あかり森林のうちにさえ沈むかも : 新井洸 『微明』, 0000, 1916"
244,"下りて来し駒の鈴が音タ冷えの山の空気に細くとよむも : 新井洸 『微明』, 0000, 1916"
245,"山ふかみ雪霜つよき苛げにいのちたもてる樹樹の梢かも : 新井洸 『微明』, 0000, 1916"
246,"湯の宿は未だ遠きを暮れちかみ雑木の膚のなま白けつつ : 新井洸 『微明』, 0000, 1916"
247,"曇り日のしかもたそがれ闃として笹原遠くひらけたるかな : 新井洸 『微明』, 0000, 1916"
248,"右ひだりすげなく広き笹原に夜とならむとすうなじ寒かり : 新井洸 『微明』, 0000, 1916"
249,"草鞋とけば白き土ふまず柔らかき出湯にひたし息づきにけり : 新井洸 『微明』, 0000, 1916"
250,"くろぐろと同行ねむる部屋ぬちに身じろけば湯の香ほのにほひつつ : 新井洸 『微明』, 0000, 1916"
251,"暁のくらく寒きに起きいでて此の山の湯にしづむかなしさ : 新井洸 『微明』, 0000, 1916"
252,"山深みひたとしみ入る朝寒にはだかとなれば湯の気親しも : 新井洸 『微明』, 0000, 1916"
253,"峡ふかく元湯湯の井をうかがへば朝寒を来し面ほてるかも : 新井洸 『微明』, 0000, 1916"
